Gene_x	Gene_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
CLA4	CSM2	NoDrug	MMS	DNA_repair	DNA_repair	0.489597916765225	-7.28718188223723	0.0130548256915089	-0.259623074241525	Expected	Negative	6.12751861924362	0.272677899933034	1.51733347947307e-161
CSM2	MAG1	NoDrug	MMS	DNA_repair	DNA_repair	0.0808997304846238	-6.43279702223234	0.00232132934538856	-0.228000615329309	Expected	Negative	5.05065326551561	0.230321944674698	3.49380306236805e-110
CLA4	MMS1	NoDrug	MMS	DNA_repair	DNA_repair	-2.16182180495056	-10.5712947340493	-0.0594806744540852	-0.366448192337038	Expected	Negative	6.93607387412809	0.306967517882953	1.46136998579766e-206
MMS1	MMS4	NoDrug	MMS	DNA_repair	DNA_repair	-0.105703811327918	-2.86840943799224	-0.00349777362510602	-0.115198746542616	Expected	Negative	2.14655169886066	0.11170097291751	8.76923677480031e-21
CLA4	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	0.142102193874365	-13.8558730600354	0.00408096987472982	-0.532855393566365	Expected	Negative	11.1869103572556	0.536936363441094	0
MAG1	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	-1.02631640576463	-7.47258557448775	-0.0360432779083565	-0.326478528737192	Expected	Negative	5.18124104981214	0.290435250828835	7.19487019604154e-116
MMS1	MUS81	NoDrug	MMS	DNA_repair	DNA_repair	-1.46865189188351	-4.60629848890237	-0.0417477142407121	-0.163506845604371	Expected	Negative	2.67746589259211	0.121759131363659	9.42577950620897e-32
CLA4	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	0.231928064925537	-6.34014271460888	0.00549768736075748	-0.198254403841932	Expected	Negative	5.19261115091182	0.20375209120269	2.29631176590309e-116
MAG1	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	0.0511797065810236	-11.593683553579	0.0012986197001883	-0.359941990507531	Expected	Negative	9.00935131944357	0.361240610207719	0
CLA4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-8.83406884363646	0.672225368744736	-0.242956278364732	0.0213515986435599	Negative	Expected	-6.29085020161911	-0.264307877008292	3.57291475291593e-170
CSM3	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-8.49506880812784	1.36979642429254	-0.244121176727197	0.047391240412663	Negative	Expected	-6.48161313566039	-0.29151241713986	1.43048924916053e-180
MAG1	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-2.45576090425035	2.80063212469071	-0.0731966292195566	0.0892042020401093	Expected	Positive	-3.72287289385637	-0.162400831259666	2.28685681071827e-60
MMS4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-7.98497014269996	2.19097427013614	-0.237884459866838	0.0741815218158076	Negative	Expected	-6.91963691194197	-0.312065981682646	1.36155135678821e-205
MUS81	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-7.23585985290405	0.939354905739088	-0.209038922205447	0.0319342506889106	Negative	Expected	-5.40141747615032	-0.240973172894358	8.75331420932407e-126
CSM3	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-8.64076051562055	0.737741167802911	-0.253400389759085	0.0264682685588498	Negative	Expected	-6.03971547522007	-0.279868658317934	5.67820317941586e-157
MMS1	RAD5	NoDrug	MMS	DNA_repair	DNA_repair	-4.60556233826471	1.97224271430594	-0.127282851732155	0.059295954046272	Negative	Expected	-4.56879939928949	-0.186578805778427	2.31599347406935e-90
