Gene_x	Gene_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
RAD52	SGS1	NoDrug	DMSO	DNA_repair	DNA_repair	3.66388858946994	9.44729209399344	0.0471699235171955	0.15046967309869	Expected	Positive	-5.04396358478261	-0.103299749581494	0.00121387597852187
RAD57	SGS1	NoDrug	DMSO	DNA_repair	DNA_repair	2.01538606143065	6.890292746541	0.0183102346538428	0.0873911332288779	Expected	Positive	-4.42784882825932	-0.0690808985750351	0.00592686414172938
CLA4	CSM2	NoDrug	MMS	DNA_repair	DNA_repair	1.23868456638538	-31.9361494595835	0.00676414666841957	-0.268056438142387	Expected	Negative	27.4449197048179	0.274820584810807	5.90580165721723e-76
CSM2	MAG1	NoDrug	MMS	DNA_repair	DNA_repair	3.59501688148734	-18.5668781532383	0.0221849014939402	-0.201548262265919	Expected	Negative	17.9176956453454	0.223733163759859	4.78163681011687e-33
CSM2	MMS1	NoDrug	MMS	DNA_repair	DNA_repair	2.89788830236587	-5.37843122262162	0.0191676434422456	-0.0565155145659506	Expected	Negative	6.09548570192272	0.0756831580081962	0.000151245749917676
MMS1	MMS4	NoDrug	MMS	DNA_repair	DNA_repair	-1.93987811960542	-8.02223352042305	-0.0180745844518416	-0.165507931595429	Expected	Negative	6.51278207840293	0.147433347143587	4.74345114897768e-05
CLA4	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	-0.601637061735528	-16.1376371244077	-0.00508400741918614	-0.482229220418405	Expected	Negative	15.3649643786493	0.477145212999219	1.44714147220192e-24
MAG1	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	-2.60230255898077	-7.43280762840421	-0.0330059635600022	-0.293508336191175	Expected	Negative	6.28092800124268	0.260502372631173	9.01906435765633e-05
CLA4	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	3.10576466647853	-25.5409543094384	0.0152161541965886	-0.187440753468315	Expected	Negative	22.9667253461697	0.202656907664903	1.33685091100531e-53
MAG1	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	1.50964493493949	-30.9632670487223	0.00808056504083654	-0.311902041371607	Expected	Negative	28.0511904408845	0.319982606412444	3.95072634075653e-79
CLA4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-25.8236836628159	6.0042617661497	-0.225905414990374	0.0567315680492732	Negative	Positive	-21.949946561985	-0.282636983039647	3.95690889792827e-49
CSM3	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-21.0613019481988	3.42197466407334	-0.247658033028825	0.0425079853294982	Negative	Expected	-16.9638510880071	-0.290166018358323	8.50358088600292e-30
MAG1	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-6.37322268981488	8.0733042409739	-0.05301117169455	0.0976534518876219	Expected	Positive	-10.2634278497539	-0.150664623582172	1.76148054215227e-11
MMS4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-20.2722890731681	5.31029895665108	-0.21693574873152	0.0697972493997882	Negative	Expected	-16.9173080131832	-0.286732998131308	1.19421274919748e-29
