Gene_x	Gene_y	Chromosomal_distance_bp	Remove_by_Chromosomal_distance_or_SameGene	Type_of_gene_x	Type_of_gene_y	SOJ_E_NoMMS	SOJ_E_MMS	SOJ_E_SnsM.N	SOJ_Class_NoMMS	SOJ_Class_MMS	GIS_xy.NoDrug	GIS_xy.DMSO	GIS_xy.MMS	GIS_xy.4NQO	GIS_xy.BLMC	GIS_xy.ZEOC	GIS_xy.HYDX	GIS_xy.DXRB	GIS_xy.CSPL	W_x.NoDrug	W_x.DMSO	W_x.MMS	W_x.4NQO	W_x.BLMC	W_x.ZEOC	W_x.HYDX	W_x.DXRB	W_x.CSPL	W_y.NoDrug	W_y.DMSO	W_y.MMS	W_y.4NQO	W_y.BLMC	W_y.ZEOC	W_y.HYDX	W_y.DXRB	W_y.CSPL	W_xy.NoDrug	W_xy.DMSO	W_xy.MMS	W_xy.4NQO	W_xy.BLMC	W_xy.ZEOC	W_xy.HYDX	W_xy.DXRB	W_xy.CSPL	W_x_SE.NoDrug	W_x_SE.DMSO	W_x_SE.MMS	W_x_SE.4NQO	W_x_SE.BLMC	W_x_SE.ZEOC	W_x_SE.HYDX	W_x_SE.DXRB	W_x_SE.CSPL	W_y_SE.NoDrug	W_y_SE.DMSO	W_y_SE.MMS	W_y_SE.4NQO	W_y_SE.BLMC	W_y_SE.ZEOC	W_y_SE.HYDX	W_y_SE.DXRB	W_y_SE.CSPL	W_xy_SE.NoDrug	W_xy_SE.DMSO	W_xy_SE.MMS	W_xy_SE.4NQO	W_xy_SE.BLMC	W_xy_SE.ZEOC	W_xy_SE.HYDX	W_xy_SE.DXRB	W_xy_SE.CSPL	SE_GIS_xy.NoDrug	SE_GIS_xy.DMSO	SE_GIS_xy.MMS	SE_GIS_xy.4NQO	SE_GIS_xy.BLMC	SE_GIS_xy.ZEOC	SE_GIS_xy.HYDX	SE_GIS_xy.DXRB	SE_GIS_xy.CSPL	Z_GIS_xy.NoDrug	Z_GIS_xy.DMSO	Z_GIS_xy.MMS	Z_GIS_xy.4NQO	Z_GIS_xy.BLMC	Z_GIS_xy.ZEOC	Z_GIS_xy.HYDX	Z_GIS_xy.DXRB	Z_GIS_xy.CSPL	FDR.neutral_xy.NoDrug	FDR.neutral_xy.DMSO	FDR.neutral_xy.MMS	FDR.neutral_xy.4NQO	FDR.neutral_xy.BLMC	FDR.neutral_xy.ZEOC	FDR.neutral_xy.HYDX	FDR.neutral_xy.DXRB	FDR.neutral_xy.CSPL	Z_GIS_xy.NoDrug_Class	Z_GIS_xy.DMSO_Class	Z_GIS_xy.MMS_Class	Z_GIS_xy.4NQO_Class	Z_GIS_xy.BLMC_Class	Z_GIS_xy.ZEOC_Class	Z_GIS_xy.HYDX_Class	Z_GIS_xy.DXRB_Class	Z_GIS_xy.CSPL_Class
APT2	APT2	0	YES	Neutral	Neutral	NA	NA	NA	NA	NA	-0.493370457596161	-0.756479932176993	-0.765644184896673	-0.836477976200176	-0.97588675242382	-0.98739214529853	-0.846587001298367	-0.909188915539909	-0.754583452751883	1.08593031097541	1.11500880603693	1.10037192490268	1.10110775407083	1.13390312016513	1.10998073608386	1.1017831821732	1.14081228256679	1.13283609891854	0.958235406899729	0.925331608474471	0.918610229471483	0.922918460878271	1.00572522558433	0.949287334393523	0.969819462282252	0.941286286624938	0.960588654018409	0.548808123567201	0.281530752192969	0.253079416383437	0.184579820097246	0.161149978481788	0.0539414826803774	0.220300067216372	0.173196656909757	0.32112011934097	0.0451917276721909	0.0644582866931842	0.0672822234745127	0.0801635167477222	0.0821313807391859	0.0934800687359523	0.0636652157960335	0.0704628863943655	0.0652073703790499	0.0406423671246919	0.0558780383410374	0.0595015547555985	0.0660770396822892	0.0802553314063442	0.0792331216882132	0.061220577591607	0.0644783697225956	0.0576891792197955	0.0166923026401159	0.0178433138193841	0.0223229879295753	0.0262819366389147	0.0292278550594566	0.0299950776104941	0.0248024916061572	0.0295058465694592	0.0242518612634304	0.0640474026439313	0.0880751345261943	0.0927542446362885	0.107043105935563	0.126325583731109	0.128514789674337	0.0947363850012019	0.103324390624871	0.0937112518121707	-7.70320789336349	-8.58902953990958	-8.25454606308257	-7.81440307518462	-7.72517113003055	-7.68310128196631	-8.93623924205706	-8.79936392599503	-8.05221825725181	2.21007662799781e-184	2.20844514846636e-262	1.46753102478921e-163	9.77226177730908e-185	5.73359866435265e-124	4.08527973018364e-138	2.85438038987217e-169	6.97509756575515e-161	3.92529011161426e-151	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative
APT2	CLA4	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	NA	0.0195706625852592	0.00988558097354051	0.0271103707042835	-0.011306231665047	0.0260298947053703	0.0436177159623355	0.0420168411580228	0.0530183580288294	0.0498517565968544	0.977214217507573	0.948241480118415	0.939940299890136	0.939247921622572	0.984895160101041	0.92422154411302	0.956807739136769	0.892581317910097	0.913122594421984	0.946614077664177	0.909884942177224	0.8997849141925	0.90065434072271	0.973624419543435	0.919498370779809	0.943360437142827	0.901449734726685	0.927527705778435	0.941111765397025	0.868677620645388	0.868468894724968	0.83255109993596	0.974875860055879	0.885836307305805	0.931394864788628	0.849690284383027	0.881560461258883	0.0241007634074392	0.0331216829605686	0.0357156235055576	0.0405726315268456	0.0439968925132303	0.0505103162418233	0.0356260675148991	0.0363354953629969	0.0320325222164681	0.0236077120976367	0.0322317917061619	0.0342990741547638	0.0380133404498645	0.0464183736457611	0.0465888545927097	0.035841296683746	0.038557719610097	0.0351876386581562	0.0096855680666889	0.0103784813960894	0.0129357449046332	0.0153287014231248	0.0169321303691668	0.0174788163765844	0.014382697691556	0.0171577051569061	0.0143669464372544	0.0338018047824948	0.0439200558834214	0.0471564159036664	0.0530335518654803	0.0647736218793838	0.0657548863625425	0.050183717181349	0.0505922556342967	0.0461047952562014	0.57898277062988	0.225081247614533	0.5749031215533	-0.213190164854982	0.401859490794587	0.663338017525378	0.837260440596429	1.04795402703666	1.08127053422169	0.432362054857172	0.381166604751186	0.00974000748824201	0.353144390835317	0.4672212344987	0.103306954817942	0.0147110728291706	0.171209427599781	0.0622800417549434	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected
CLA4	CLA4	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	NA	-0.464869398647774	-0.689872383502075	-0.694674301435114	-0.727668079519698	-0.802692839226561	-0.719239400260367	-0.746194834580475	-0.628549727353335	-0.673459940833804	0.93299765945647	0.885065392812369	0.876219144820254	0.876289343588723	0.92357630816787	0.853074227734036	0.897274321240896	0.812701529467403	0.849360242416218	0.91795805436175	0.869106253765852	0.852864367963347	0.843467150450036	0.895534728680888	0.841500395911187	0.879236518869266	0.776831154944161	0.813423936948175	0.383964807758137	0.0661192958053893	0.0370836463933126	0.00761923013457276	0.014820216239341	0	0.0259260950522771	0	0.00848626957817303	0.0285243009154435	0.0386237484569982	0.0421601651545635	0.047001364061667	0.0521072682905105	0.060129338074849	0.0429550634917542	0.0423871112742191	0.0367144012160741	0.0288832834340959	0.0379706772187971	0.040852626045984	0.0445258746688098	0.0562573076730457	0.0590703986426258	0.0450035282900758	0.0506864614501781	0.0486201571603462	0.0118103913591298	0.0125683961588265	0.0157763696734155	0.018643683355717	0.020656102801295	0.0212876551314553	0.01753618622422	0.0206170888085861	0.0172117789235606	0.0393882905922016	0.049130623305457	0.053133712176692	0.0586422868792072	0.072830305845575	0.0744964322850464	0.0580193935030464	0.0566334786219565	0.0537942421553407	-11.8022232409297	-14.0415964033872	-13.0740780754228	-12.4085897437555	-11.0214124450959	-9.65468248879806	-12.861127797575	-11.0985541175931	-12.5191826085971	0	0	0	0	1.10124326035503e-251	1.02906936569524e-216	0	3.17311185236317e-256	0	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative
APT2	CSM2	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	NA	-0.0162469643695277	-0.00916366704876534	-0.00943761640855907	-0.0193791225064892	0.0269071963094315	0.013739458584383	0.0143269103216175	0.0061284151881898	-0.00288544668570358	1.04525602900356	1.05684356908327	1.02516611793375	1.0451102114742	1.07366771243614	1.05651577045098	1.05096030054893	1.06040096660379	1.06285690501473	1.00086162406241	0.992346622335658	0.942341682225372	0.982261325578387	0.992151497499649	1.00402357940209	0.985814540537743	1.00798057038744	1.00343746042958	1.03169369801546	1.04372311541845	0.953847738121809	1.01609437012556	1.08217181812514	1.07431055742183	1.04647451505099	1.07707678963329	1.05466758767026	0.0258442657424084	0.0365728913562321	0.0379647217901865	0.0448033753107558	0.0471621474634541	0.054299195235348	0.0356591046533665	0.0391887094622752	0.0351005723384846	0.0242266159511954	0.0334679580311887	0.0343616289619343	0.0398823051858978	0.0516861608404007	0.049816489312413	0.0384491219732931	0.0400441095198608	0.034847327651088	0.00971001856658546	0.0104327259678277	0.01302374049452	0.0154524467486218	0.0172428920904027	0.0175746908574198	0.0145830949950148	0.0174499620027721	0.0143723234242882	0.0373924628573998	0.0514582296977971	0.0515836460772139	0.0622538435309865	0.074856455251271	0.0775456864013808	0.0554557304360016	0.0601847314748661	0.0528236474256126	-0.434498375554646	-0.178079718299318	-0.182957528718156	-0.311291984676309	0.35945058070292	0.177178889271375	0.258348600027033	0.101826743062717	-0.0546241470691121	0.4554402068611	0.522329660227707	0.38600102588292	0.466973454449958	0.585371908141477	0.419718451523639	0.718096301766769	0.36867388222735	0.282528342806271	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected
CLA4	CSM2	NA	no	DNA_repair	DNA_repair	0.042223	-0.131099	-0.191540569	NEUTRAL	AGGRAVATING	0.0169317234428185	0.039624471075706	-0.250694516421076	-0.0272815659550532	0.0117097592914696	-0.879845551642693	-0.874502520175849	-0.772494282109666	-0.858014312658623	0.942924036058215	0.90402689641229	0.883464923860623	0.896446576982187	0.939011002284764	0.880229449579389	0.916178037369509	0.843670900566225	0.871611020729433	1.00538766574501	1.00358250133101	0.936115456115023	0.985350498811074	0.961378079247267	0.99943075836581	0.970580584095363	1.0028353051365	0.996156025706154	0.960189078696768	0.936544374148923	0.56678198539788	0.857369420813966	0.903071810419167	0	0	0.058214826715045	0	0.0183502701215114	0.0250476453118471	0.0270099949223625	0.0303957204381665	0.0337038215713415	0.0387706486776086	0.0269359724863323	0.027027150372601	0.0234134095825001	0.0188682594749288	0.0256559466499973	0.026151843332708	0.0305573896046357	0.0412129741306128	0.0399361253098576	0.0306500555156023	0.0319162073188791	0.0277523645230671	0.00747500831135938	0.00796453355839477	0.00999591246858168	0.0118598552141166	0.0131742809114471	0.0134336701465995	0.0111302041469178	0.0130647552756049	0.0109252106965295	0.0266643816169853	0.0349956365964532	0.0356273630104342	0.042096005799039	0.0521775546557799	0.0538588129695654	0.0399712441598301	0.0404720472740151	0.0354722948615646	0.634994041340637	1.13226890348158	-7.03657232076521	-0.648079679703864	0.22442138901909	-16.3361482203456	-21.8782912205344	-19.0871066363288	-24.188294442385	0.746266683591656	0.0351322427108661	4.23125287914151e-117	0.131403261192698	0.651141296399938	0	0	0	0	Expected	Expected	Negative	Expected	Expected	Negative	Negative	Negative	Negative
CSM2	CSM2	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	NA	-0.478621185385159	-0.733783796024241	-0.709173347617726	-0.786564245269378	-0.655567607193897	-0.804304383706743	-0.587523194127361	-0.812657026291741	-0.66135492301929	0.981030895868779	0.974486222134727	0.910859240421034	0.967732092068367	0.991312715080492	0.980837204954957	0.980592766713279	0.960886094790229	0.971760863618635	1.02770958300429	1.03962302230593	0.957882551960758	1.02536504410128	0.981011188769845	1.04178978560963	0.99732359147875	1.06164556054853	1.03631062849732	0.529495531150138	0.279805622861093	0.148613334823793	0.210252998275882	0.304319936645167	0.227046324023654	0.384212407942603	0.196219631702433	0.333938216616729	0.0307796634835173	0.0426340326401042	0.0442793703071989	0.0512450331608949	0.0553628263602116	0.0650648478950696	0.0409253844374839	0.0441564511225953	0.03820744259137	0.0300847505156646	0.0412415154464978	0.0414727476067974	0.0494085795844881	0.0677884671425281	0.0641728137154049	0.0493452350843967	0.0503541944258408	0.0428313266915665	0.011816268296244	0.0125840023420494	0.0157815926594375	0.0186314817457062	0.0207891585266157	0.0211977524808649	0.0175954005333593	0.0207118052574904	0.0172949116568166	0.0448338701765578	0.061099301605871	0.0588764082864942	0.073353764280451	0.0891852963152682	0.0948966859844976	0.0657163884412302	0.0704597117630929	0.0599591765266942	-10.6754376434675	-12.0096920380139	-12.0451190596897	-10.7228886340738	-7.35062431004858	-8.47557926140998	-8.9402842740328	-11.5336410830652	-11.0300868245722	0	0	0	0	3.51624902870973e-112	6.95355038716297e-168	6.35435103775426e-169	1.15712818245151e-273	3.93012107938279e-279	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative
APT2	CSM3	NA	no	Neutral	DNA_repair	NA	NA	NA	NA	NA	0.0157762893051924	0.0188930897624643	0.00431084060829065	-0.00741511862795814	-0.0120656007591638	-0.0178620416144777	-0.0113804754178723	0.0351640125585095	0.0240213183734304	1.04635138663823	1.06214076985639	1.04587407748801	1.05133067404628	1.11743014776535	1.08392907247042	1.06193203851187	1.05276076324698	1.059300431403	0.927990874457877	0.880172415133144	0.85717682247161	0.850878297693845	0.973519156412341	0.916551606308683	0.92941098985793	0.873236068540652	0.907943285132602	0.981982724491961	0.947175462002271	0.897934481535263	0.884775426507055	1.06799744948733	0.968907050731909	0.973116982900873	0.946444001244355	0.971990648767807	0.0214875346078415	0.0306574258079627	0.0328436155061017	0.0375241065413095	0.0410934457909375	0.0462939024429149	0.0316953211589803	0.0336658390404091	0.0304542345646794	0.0203506911926074	0.0272919584796886	0.0282340107331763	0.0312752427743537	0.0386209928339215	0.0393133819490211	0.0295796391369614	0.0316849858625626	0.028700145853198	0.0083627774148557	0.00890029134927458	0.0111912858422808	0.0131321545730806	0.0146620973730551	0.0150092153840535	0.0124238811753208	0.0147086371749778	0.0122102765328296	0.0303166575398196	0.0404852203630927	0.0421842070363057	0.0473567356147266	0.0606076333256513	0.0619836378517024	0.0447851279560931	0.0467595919601014	0.0427540817140316	0.520383531214513	0.466666343742759	0.102190865045313	-0.156580020385785	-0.19907724649689	-0.288173495999269	-0.254112825780683	0.752017096054087	0.561848539610822	0.662312689181087	0.26794954307308	0.30590732714556	0.598337951882754	0.764368599902863	0.374177858649463	0.695176653916096	0.625582828345811	0.318507102862533	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected
CLA4	CSM3	NA	no	DNA_repair	DNA_repair	0.031025	-0.019782	-0.057794287	NEUTRAL	NEUTRAL	-0.0307953183178775	-0.0328157071318946	-0.0339218932453729	-0.374939803839584	-0.0270993317310202	-0.44112669086493	0.0185099276171779	-0.0162960000418995	-0.28514923946642	0.956871366105068	0.920704965920123	0.906449963367479	0.910136775560935	0.971515508943857	0.908595938082211	0.93183829417078	0.853882153740616	0.885249289170801	0.901900111601598	0.843272722759943	0.814354584670581	0.798517813388285	0.93103195089092	0.872482434162615	0.88775501507285	0.793900580661692	0.839791355328835	0.825029169156354	0.732886733597636	0.697647352293866	0.351212690253732	0.867232659973236	0.353127247904	0.837700662592323	0.655016357130701	0.450921841058258	0.0165528715908208	0.0227844299281488	0.0249526397866936	0.0276319851533345	0.0311155103617731	0.0356212727034103	0.0251705917386407	0.025148563322291	0.0219576688867741	0.0166384077542721	0.0218385963878443	0.0224865798513835	0.0246569394222307	0.0311283387622515	0.0327017990785559	0.0241424321565159	0.0265469394433157	0.0245116615284132	0.00683209559024088	0.00730060636344712	0.0092023062862179	0.0108319917729536	0.0120422221241523	0.0123704868487359	0.0101946457909219	0.0120784964964115	0.0101334216961661	0.02285359633647	0.0286868744003278	0.0301612708017773	0.0331832948335491	0.0435489620212711	0.044721006291791	0.0333379868179746	0.0325606002057479	0.0302685103363111	-1.34750425554397	-1.14392759120246	-1.12468381946871	-11.2990529035866	-0.62227273563452	-9.8639705910621	0.555220317238773	-0.500482175971153	-9.42065652713494	1.06623953630172e-05	5.87173681347033e-05	0.012645003881538	0	0.577372825972957	4.34659148348832e-227	0.36068019709027	0.0110839917446382	3.17154048277637e-202	Expected	Expected	Expected	Negative	Expected	Negative	Expected	Expected	Negative
CSM2	CSM3	NA	no	DNA_repair	DNA_repair	-0.030523	0.017655	0.045435107	NEUTRAL	NEUTRAL	-0.00192086499277925	-0.00992693697657855	-0.0128280237040584	-0.0405495519704473	0.00247902412511133	-0.050806477327416	0.00373158903700374	0.000179071942993552	0.0115239382938243	0.999653161101024	0.99628086884272	0.955938779632291	0.986362825843516	1.05130065508442	1.0254046562707	1.00279349431934	0.966828281459525	0.985125421366749	0.97935640828317	0.956140669778706	0.892729617381543	0.921206997920015	0.965342418205965	0.976176894214539	0.95174843456809	0.949867987379093	0.960792461182261	0.973539857223811	0.936255603044281	0.834497221055036	0.872757975190085	1.00608422302596	0.955139177116357	0.955595436122445	0.907627724515483	0.949834762033496	0.0171909315344317	0.0244416464768744	0.0261719664134748	0.0294693597593338	0.0335409569205033	0.0381324806367572	0.0251288408857302	0.0263995961713283	0.0229638042436288	0.0170901094842066	0.0230591706303506	0.0232800795251054	0.0267989540461816	0.0354023797796617	0.0350850043575245	0.0264093218723777	0.0277317556020801	0.0242574806696591	0.00684387141182254	0.00734282948258968	0.00925094745583896	0.0109446056561687	0.0123182863100739	0.0124342879261046	0.0103686804691058	0.0121917375748212	0.010101831904431	0.0248624729483476	0.0333349307875659	0.0333577913027555	0.0389761053205541	0.0509376136060047	0.0529326169283573	0.0370932800157319	0.0384539969622207	0.0339668648765902	-0.0772596111726255	-0.297793837936551	-0.384558545487355	-1.04036951965705	0.048667849740395	-0.95983309112	0.100600136612915	0.00465678361522424	0.339270001387929	0.698529937953808	0.0190747591714212	0.0980419347872775	0.000560365395439969	0.537986469710834	0.00356274711306924	0.545825138838953	0.612455373263871	0.4623808106184	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected	Expected
CSM3	CSM3	0	YES	DNA_repair	DNA_repair	NA	NA	NA	NA	NA	-0.37733647431255	-0.56876129885603	-0.564947622537956	-0.600887009426717	-0.757357374310589	-0.796890789819221	-0.58032615410701	-0.575101122803996	-0.507228654451252	1.01039677777443	1.01106961064922	0.987553320679724	0.99973422951263	1.09920656999829	1.05719935097973	1.01969530679478	0.971200590102061	0.994135525777495	0.89452054679946	0.832985994060627	0.799972736071277	0.780954260669076	0.944203397117395	0.884233277065195	0.891040560947724	0.799838846312021	0.848443460696256	0.518273963947358	0.260593059647756	0.219710103410512	0.178145442909344	0.269727628206096	0.13776499221212	0.328071639703836	0.192083921030145	0.328543479139107	0.0204818754411186	0.0290969521379776	0.0318962476129314	0.0345433121285126	0.0410079849452071	0.0459154935588037	0.0315030989296798	0.0322511001868864	0.0285482395710033	0.0203343001334582	0.026522537470934	0.0268361201323959	0.0295066873792973	0.0372502247071371	0.0390852317089691	0.0286004752932389	0.0311075483860012	0.0283761658768645	0.00835910009278063	0.00888613399387892	0.0111853858345167	0.0131274918174156	0.0146798404349185	0.0150010877781785	0.0124391129573517	0.0146514709337775	0.0122571835534235	0.0287706347081271	0.0372216281599815	0.0384438436206019	0.0420514807170882	0.0582370392290323	0.0598454279395293	0.0423525113470188	0.0423440452323925	0.0391434370696935	-13.1153336775695	-15.2803981709626	-14.695399037447	-14.2893186917563	-13.0047369223577	-13.3158173858233	-13.7022843663758	-13.581629238485	-12.9582042973935	0	0	0	0	0	0	0	0	0	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative	Negative
