Gene_x	Gene_y	Condition1	Condition2	Type_of_gene_x	Type_of_gene_y	Z_Condition1	Z_Condition2	GI_Condition1	GI_Condition2	Class_Condition1	Class_Condition2	DeltaZ	DeltaGI	DeltaZ_FDR
CLA4	CSM2	NoDrug	MMS	DNA_repair	DNA_repair	0.634994041340637	-7.03657232076521	0.0169317234428185	-0.250694516421076	Expected	Negative	6.01399955099736	0.267626239863894	1.37400795558736e-135
CSM2	MAG1	NoDrug	MMS	DNA_repair	DNA_repair	0.0486915203461547	-6.34887186568341	0.00139714995802855	-0.225026016990728	Expected	Negative	4.965158266414	0.226423166948756	1.38733577937388e-92
CLA4	MMS1	NoDrug	MMS	DNA_repair	DNA_repair	-1.98159198633475	-10.3976904448133	-0.0545218054374731	-0.360430293908039	Expected	Negative	6.91214461187308	0.305908488470566	5.41980937858876e-179
MMS1	MMS4	NoDrug	MMS	DNA_repair	DNA_repair	0.0135939906190192	-2.98830146763351	0.00044982958750311	-0.120013753546913	Expected	Negative	2.31494231674225	0.120463583134417	1.32650719550875e-20
CLA4	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	0.424939942694704	-13.5307560155241	0.0122036617269942	-0.520352365431104	Expected	Negative	11.095647346089	0.532556027158098	0
MAG1	MPH1	NoDrug	MMS	DNA_repair	DNA_repair	-0.959521395443157	-7.38074610522664	-0.033697499251418	-0.322466046778238	Expected	Negative	5.15150777349111	0.28876854752682	1.27357844561007e-99
MMS1	MUS81	NoDrug	MMS	DNA_repair	DNA_repair	-1.45068151859078	-4.55832510436502	-0.0412368906662695	-0.161803964907958	Expected	Negative	2.65125272689069	0.120567074241689	8.14197984717941e-27
CLA4	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	0.354092132124917	-6.19377345318798	0.00839349838904502	-0.193677479950783	Expected	Negative	5.14976807948071	0.202070978339828	1.45678565075757e-99
MAG1	PSY3	NoDrug	MMS	DNA_repair	DNA_repair	-0.0386116519338096	-11.6376654858642	-0.000979721362385661	-0.361307470614	Expected	Negative	8.98658454066248	0.360327749251615	2.62235961631693e-302
CLA4	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-8.74094940407018	0.817626842931343	-0.240395289438692	0.0259699216991322	Negative	Expected	-6.33981726597624	-0.266365211137824	3.9784164716607e-154
CSM3	RAD18	NoDrug	MMS	DNA_repair	DNA_repair	-8.3705569900971	1.54573884310928	-0.240543104292395	0.0534783708220126	Negative	Expected	-6.537400615609	-0.294021475114408	9.83424345797312e-164
